birthArea,birthDate,currentNationalTeamId,currentTeamId,firstName,foot,height,lastName,middleName,passportArea,role,shortName,weight,wyId
"{'name': 'Curaçao', 'id': '531', 'alpha3code': 'CUW', 'alpha2code': 'CW'}",1989-08-21,18138,2455,Charlison,right,191,Benschop,,"{'name': 'Curaçao', 'id': '531', 'alpha3code': 'CUW', 'alpha2code': 'CW'}","{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",C. Benschop,91,91
"{'name': 'Iceland', 'id': '352', 'alpha3code': 'ISL', 'alpha2code': 'IS'}",1990-10-27,7839,1646,Johann ,left,186,Berg Guðmunds­son,,"{'name': 'Iceland', 'id': '352', 'alpha3code': 'ISL', 'alpha2code': 'IS'}","{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",J. Guðmunds­son,77,93
"{'name': 'Poland', 'id': '616', 'alpha3code': 'POL', 'alpha2code': 'PL'}",1987-01-04,null,677,Przemysław,right,194,Tytoń,,"{'name': 'Poland', 'id': '616', 'alpha3code': 'POL', 'alpha2code': 'PL'}","{'code2': 'GK', 'code3': 'GKP', 'name': 'Goalkeeper'}",P. Tytoń,83,99
"{'name': 'Brazil', 'id': '76', 'alpha3code': 'BRA', 'alpha2code': 'BR'}",1987-05-20,null,3766,Marcelo Antônio,right,191,Guedes Filho,,"{'name': 'Brazil', 'id': '76', 'alpha3code': 'BRA', 'alpha2code': 'BR'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",Marcelo,85,102
"{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",1994-03-30,null,2462,Jetro,left,169,Willems,,"{'name': 'Curaçao', 'id': '531', 'alpha3code': 'CUW', 'alpha2code': 'CW'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",J. Willems,65,110
"{'name': 'Iraq', 'id': '368', 'alpha3code': 'IRQ', 'alpha2code': 'IQ'}",1993-12-19,17759,3163,Ali Adnan Kadhim,left,186,Al Tameemi,,"{'name': 'Iraq', 'id': '368', 'alpha3code': 'IRQ', 'alpha2code': 'IQ'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",Ali Adnan,78,131184
"{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",1990-02-13,null,3158,Kevin,left,186,Strootman,,"{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}","{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",K. Strootman,78,114
"{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",1994-02-13,664,3766,Memphis,right,176,Depay,,"{'name': 'Ghana', 'id': '288', 'alpha3code': 'GHA', 'alpha2code': 'GH'}","{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",M. Depay,78,118
"{'name': 'Belgium', 'id': '56', 'alpha3code': 'BEL', 'alpha2code': 'BE'}",1987-05-06,5629,3187,Dries,right,169,Mertens,,"{'name': 'Belgium', 'id': '56', 'alpha3code': 'BEL', 'alpha2code': 'BE'}","{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",D. Mertens,61,122
"{'name': 'Sweden', 'id': '752', 'alpha3code': 'SWE', 'alpha2code': 'SE'}",1986-07-03,7047,3780,Ola,right,192,Toivonen,,"{'name': 'Sweden', 'id': '752', 'alpha3code': 'SWE', 'alpha2code': 'SE'}","{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",O. Toivonen,78,123
"{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",1992-02-05,null,3162,Stefan,right,189,de Vrij,,"{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",S. de Vrij,78,130
"{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",1985-01-27,16216,16469,Karim,right,179,El Ahmadi Al Aroos,,"{'name': 'Morocco', 'id': '504', 'alpha3code': 'MAR', 'alpha2code': 'MA'}","{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",K. El Ahmadi,78,142
"{'name': 'Sweden', 'id': '752', 'alpha3code': 'SWE', 'alpha2code': 'SE'}",1992-04-15,7047,696,John,right,185,Guidetti,,"{'name': 'Sweden', 'id': '752', 'alpha3code': 'SWE', 'alpha2code': 'SE'}","{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",J. Guidetti,79,151
"{'name': 'Turkey', 'id': '792', 'alpha3code': 'TUR', 'alpha2code': 'TR'}",1988-08-11,4687,4535,Volkan,right,192,Babacan,,"{'name': 'Turkey', 'id': '792', 'alpha3code': 'TUR', 'alpha2code': 'TR'}","{'code2': 'GK', 'code3': 'GKP', 'name': 'Goalkeeper'}",V. Babacan,86,32923
"{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",1991-07-10,null,2481,Jeffrey,right,188,Gouweleeuw,,"{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",J. Gouweleeuw,78,159
"{'name': 'Serbia', 'id': '688', 'alpha3code': 'SRB', 'alpha2code': 'RS'}",1992-01-30,null,3219,Filip,right,181,Đuričić,,"{'name': 'Serbia', 'id': '688', 'alpha3code': 'SRB', 'alpha2code': 'RS'}","{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",F. Đuričić,72,174
"{'name': 'Slovakia', 'id': '703', 'alpha3code': 'SVK', 'alpha2code': 'SK'}",1986-10-30,14496,2457,Peter,right,176,Pekarík,,"{'name': 'Slovakia', 'id': '703', 'alpha3code': 'SVK', 'alpha2code': 'SK'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",P. Pekarík,70,32959
"{'name': 'Serbia', 'id': '688', 'alpha3code': 'SRB', 'alpha2code': 'RS'}",1988-06-10,null,3194,Jagoš,left,195,Vuković,,"{'name': 'Serbia', 'id': '688', 'alpha3code': 'SRB', 'alpha2code': 'RS'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",J. Vuković,93,192
"{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",1987-03-31,16216,16470,Nordin,right,178,Amrabat,,"{'name': 'Morocco', 'id': '504', 'alpha3code': 'MAR', 'alpha2code': 'MA'}","{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",N. Amrabat,77,32968
"{'name': ""Côte d'Ivoire"", 'id': '384', 'alpha3code': 'CIV', 'alpha2code': 'CI'}",1991-03-01,null,3783,Christian,right,182,Kouakou Yao,,"{'name': ""Côte d'Ivoire"", 'id': '384', 'alpha3code': 'CIV', 'alpha2code': 'CI'}","{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",C. Kouakou,72,131321
"{'name': 'Venezuela', 'id': '862', 'alpha3code': 'VEN', 'alpha2code': 'VE'}",1988-11-20,null,683,Roberto José,right,175,Rosales Altuve,,"{'name': 'Venezuela', 'id': '862', 'alpha3code': 'VEN', 'alpha2code': 'VE'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",R. Rosales,71,254
"{'name': 'Belgium', 'id': '56', 'alpha3code': 'BEL', 'alpha2code': 'BE'}",1989-08-02,5629,1627,Nacer,right,187,Chadli,,"{'name': 'Morocco', 'id': '504', 'alpha3code': 'MAR', 'alpha2code': 'MA'}","{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",N. Chadli,80,261
"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}",1994-06-05,null,3172,Robin,left,183,Gosens,,"{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",R. Gosens,76,295176
"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",1991-09-11,null,3770,Yacine,right,188,Bammou,,"{'name': 'Morocco', 'id': '504', 'alpha3code': 'MAR', 'alpha2code': 'MA'}","{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",Y. Bammou,78,229697
"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",1995-02-03,null,3783,Florian,left,193,Le Joncour,,"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",F. Le Joncour,86,328021
"{'name': 'Brazil', 'id': '76', 'alpha3code': 'BRA', 'alpha2code': 'BR'}",1992-02-16,null,8743,André,right,182,Ramalho Silva,,"{'name': 'Brazil', 'id': '76', 'alpha3code': 'BRA', 'alpha2code': 'BR'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",André Ramalho,78,65880
"{'name': 'Italy', 'id': '380', 'alpha3code': 'ITA', 'alpha2code': 'IT'}",1999-01-04,null,3163,Davide,left,180,Borsellini,,"{'name': 'Italy', 'id': '380', 'alpha3code': 'ITA', 'alpha2code': 'IT'}","{'code2': 'GK', 'code3': 'GKP', 'name': 'Goalkeeper'}",D. Borsellini,69,393566
"{'name': 'Germany', 'id': '276', 'alpha3code': 'DEU', 'alpha2code': 'DE'}",1988-06-28,16823,1651,Leon-Aderemi,right,190,Balogun,,"{'name': 'Nigeria', 'id': '566', 'alpha3code': 'NGA', 'alpha2code': 'NG'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",L. Balogun,81,16443
"{'name': 'Ghana', 'id': '288', 'alpha3code': 'GHA', 'alpha2code': 'GH'}",1996-06-07,17527,3166,Godfred,right,175,Donsah,,"{'name': 'Ghana', 'id': '288', 'alpha3code': 'GHA', 'alpha2code': 'GH'}","{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",G. Donsah,70,295273
"{'name': 'Korea Republic', 'id': '410', 'alpha3code': 'KOR', 'alpha2code': 'KR'}",1991-06-29,null,3795,Hyun-Jun,right,190,Suk,,"{'name': 'Korea Republic', 'id': '410', 'alpha3code': 'KOR', 'alpha2code': 'KR'}","{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",Suk Hyun-Jun,82,382
"{'name': 'Serbia', 'id': '688', 'alpha3code': 'SRB', 'alpha2code': 'RS'}",1988-11-20,17322,9,Dušan,left,181,Tadić,,"{'name': 'Serbia', 'id': '688', 'alpha3code': 'SRB', 'alpha2code': 'RS'}","{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",D. Tadić,76,383
"{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",1990-05-04,null,3163,Bram,left,190,Nuytinck,,"{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",B. Nuytinck,80,394
"{'name': 'Denmark', 'id': '208', 'alpha3code': 'DNK', 'alpha2code': 'DK'}",1986-05-27,7712,9,Lasse,right,177,Schöne,,"{'name': 'Denmark', 'id': '208', 'alpha3code': 'DNK', 'alpha2code': 'DK'}","{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",L. Schöne,78,405
"{'name': 'Gambia', 'id': '270', 'alpha3code': 'GMB', 'alpha2code': 'GM'}",1998-11-14,null,3777,Ablie,left,166,Jallow,,"{'name': 'Gambia', 'id': '270', 'alpha3code': 'GMB', 'alpha2code': 'GM'}","{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",A. Jallow,56,376908
"{'name': 'Romania', 'id': '642', 'alpha3code': 'ROU', 'alpha2code': 'RO'}",1987-06-28,null,4502,Bogdan Sorin,right,183,Stancu,,"{'name': 'Romania', 'id': '642', 'alpha3code': 'ROU', 'alpha2code': 'RO'}","{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",B. Stancu,75,33235
"{'name': 'Switzerland', 'id': '756', 'alpha3code': 'CHE', 'alpha2code': 'CH'}",1997-12-06,null,2482,Gregor,right,194,Kobel,,"{'name': 'Switzerland', 'id': '756', 'alpha3code': 'CHE', 'alpha2code': 'CH'}","{'code2': 'GK', 'code3': 'GKP', 'name': 'Goalkeeper'}",G. Kobel,90,328190
"{'name': 'Switzerland', 'id': '756', 'alpha3code': 'CHE', 'alpha2code': 'CH'}",1996-11-20,6697,2454,Denis Lemi,right,191,Zakaria Lako Lado,,"{'name': 'Congo DR', 'id': '180', 'alpha3code': 'COD', 'alpha2code': 'CD'}","{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",D. Zakaria,80,360992
"{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",1991-03-29,null,3172,Marten,right,185,de Roon,,"{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}","{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",M. de Roon,76,625
"{'name': 'Nigeria', 'id': '566', 'alpha3code': 'NGA', 'alpha2code': 'NG'}",1996-05-03,16823,1609,Alex,right,180,Iwobi,,"{'name': 'England', 'id': '0', 'alpha3code': 'XEN', 'alpha2code': ''}","{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",A. Iwobi,75,230020
"{'name': 'Italy', 'id': '380', 'alpha3code': 'ITA', 'alpha2code': 'IT'}",1996-06-19,3757,3158,Lorenzo,right,186,Pellegrini,,"{'name': 'Italy', 'id': '380', 'alpha3code': 'ITA', 'alpha2code': 'IT'}","{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",L. Pellegrini,77,328333
"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",1996-02-15,null,3194,Mohamed Salim,left,183,Fares,,"{'name': 'Algeria', 'id': '12', 'alpha3code': 'DZA', 'alpha2code': 'DZ'}","{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",M. Fares,75,328336
"{'name': 'Brazil', 'id': '76', 'alpha3code': 'BRA', 'alpha2code': 'BR'}",1994-05-04,null,3772,Otávio Henrique,right,176,Passos Santos,,"{'name': 'Brazil', 'id': '76', 'alpha3code': 'BRA', 'alpha2code': 'BR'}","{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",Otávio,73,295569
"{'name': 'Argentina', 'id': '32', 'alpha3code': 'ARG', 'alpha2code': 'AR'}",1996-01-17,null,714,Hernán Darío,right,180,Toledo,,"{'name': 'Argentina', 'id': '32', 'alpha3code': 'ARG', 'alpha2code': 'AR'}","{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",H. Toledo,72,393881
"{'name': 'Japan', 'id': '392', 'alpha3code': 'JPN', 'alpha2code': 'JP'}",1988-08-24,12913,1619,Maya,right,189,Yoshida,,"{'name': 'Japan', 'id': '392', 'alpha3code': 'JPN', 'alpha2code': 'JP'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",M. Yoshida,78,703
"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",1997-08-05,null,3787,Bryan,right,189,Passi,,"{'name': 'Congo', 'id': '178', 'alpha3code': 'COG', 'alpha2code': 'CG'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",B. Passi,78,426692
"{'name': 'Morocco', 'id': '504', 'alpha3code': 'MAR', 'alpha2code': 'MA'}",1997-10-21,16216,2449,Hamza,left,179,Mendyl,,"{'name': ""Côte d'Ivoire"", 'id': '384', 'alpha3code': 'CIV', 'alpha2code': 'CI'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",H. Mendyl,73,426702
"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",1997-07-01,null,3779,Anthony,right,184,Caci,,"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}","{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",A. Caci,70,426714
"{'name': 'Spain', 'id': '724', 'alpha3code': 'ESP', 'alpha2code': 'ES'}",1990-07-12,null,712,Miguel Ángel,right,182,Guerrero Martín,,"{'name': 'Spain', 'id': '724', 'alpha3code': 'ESP', 'alpha2code': 'ES'}","{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",Guerrero,77,5481
"{'name': 'Slovakia', 'id': '703', 'alpha3code': 'SVK', 'alpha2code': 'SK'}",1994-02-09,14496,692,Róbert,left,180,Mazáň,,"{'name': 'Slovakia', 'id': '703', 'alpha3code': 'SVK', 'alpha2code': 'SK'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",R. Mazáň,75,786
"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",1997-03-04,4425,3779,Martin,right,183,Terrier,,"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}","{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",M. Terrier,71,394006
"{'name': 'Cameroon', 'id': '120', 'alpha3code': 'CMR', 'alpha2code': 'CM'}",1997-05-05,null,,Théodore,right,184,Efouba Ayissi,,"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",T. Efouba Ayissi,75,394008
"{'name': 'Netherlands', 'id': '528', 'alpha3code': 'NLD', 'alpha2code': 'NL'}",1995-12-16,16823,9607,Tyronne,right,187,Ebuehi,,"{'name': 'Nigeria', 'id': '566', 'alpha3code': 'NGA', 'alpha2code': 'NG'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",T. Ebuehi,72,332821
"{'name': 'Martinique', 'id': '474', 'alpha3code': 'MTQ', 'alpha2code': 'MQ'}",1996-04-11,null,3775,Patrick,right,170,Burner,,"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",P. Burner,65,328488
"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}",1996-08-14,4425,3795,Samuel,right,168,Grandsir,,"{'name': 'France', 'id': '250', 'alpha3code': 'FRA', 'alpha2code': 'FR'}","{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",S. Grandsir,64,295761
"{'name': 'Spain', 'id': '724', 'alpha3code': 'ESP', 'alpha2code': 'ES'}",1997-05-12,null,696,Víctor,right,0,López Ibáñez,,"{'name': 'Spain', 'id': '724', 'alpha3code': 'ESP', 'alpha2code': 'ES'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",Víctor López,0,404285
"{'name': ""Côte d'Ivoire"", 'id': '384', 'alpha3code': 'CIV', 'alpha2code': 'CI'}",1991-07-19,null,3775,Jean Michaël,right,168,Seri,,"{'name': ""Côte d'Ivoire"", 'id': '384', 'alpha3code': 'CIV', 'alpha2code': 'CI'}","{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",J. Seri,65,131959
"{'name': 'Spain', 'id': '724', 'alpha3code': 'ESP', 'alpha2code': 'ES'}",1994-12-18,null,712,Gerard,left,187,Gumbau Garriga,,"{'name': 'Spain', 'id': '724', 'alpha3code': 'ESP', 'alpha2code': 'ES'}","{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",Gumbau,77,263091
"{'name': 'Spain', 'id': '724', 'alpha3code': 'ESP', 'alpha2code': 'ES'}",1997-07-12,1604,756,Pablo,right,173,Maffeo Becerra,,"{'name': 'Spain', 'id': '724', 'alpha3code': 'ESP', 'alpha2code': 'ES'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",Pablo Maffeo,68,263105
"{'name': 'Poland', 'id': '616', 'alpha3code': 'POL', 'alpha2code': 'PL'}",1987-11-04,13869,13505,Artur,right,189,Jędrzejczyk,,"{'name': 'Poland', 'id': '616', 'alpha3code': 'POL', 'alpha2code': 'PL'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",A. Jędrzejczyk,78,99381
"{'name': 'Poland', 'id': '616', 'alpha3code': 'POL', 'alpha2code': 'PL'}",1989-08-19,13869,13887,Maciej,left,173,Rybus,,"{'name': 'Poland', 'id': '616', 'alpha3code': 'POL', 'alpha2code': 'PL'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",M. Rybus,75,99391
"{'name': 'Poland', 'id': '616', 'alpha3code': 'POL', 'alpha2code': 'PL'}",1992-01-15,null,2445,Marcin,left,192,Kamiński,,"{'name': 'Poland', 'id': '616', 'alpha3code': 'POL', 'alpha2code': 'PL'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",M. Kamiński,82,99410
"{'name': 'Austria', 'id': '40', 'alpha3code': 'AUT', 'alpha2code': 'AT'}",1992-03-17,null,2460,Karim,right,188,Onisiwo,,"{'name': 'Austria', 'id': '40', 'alpha3code': 'AUT', 'alpha2code': 'AT'}","{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",K. Onisiwo,76,66654
"{'name': 'Latvia', 'id': '428', 'alpha3code': 'LVA', 'alpha2code': 'LV'}",1988-01-13,null,,Artjoms,left,183,Rudņevs,,"{'name': 'Russia', 'id': '643', 'alpha3code': 'RUS', 'alpha2code': 'RU'}","{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",A. Rudņevs,81,99425
"{'name': 'Poland', 'id': '616', 'alpha3code': 'POL', 'alpha2code': 'PL'}",1991-05-05,null,3158,Łukasz,right,190,Skorupski,,"{'name': 'Poland', 'id': '616', 'alpha3code': 'POL', 'alpha2code': 'PL'}","{'code2': 'GK', 'code3': 'GKP', 'name': 'Goalkeeper'}",Ł. Skorupski,83,99430
"{'name': 'Poland', 'id': '616', 'alpha3code': 'POL', 'alpha2code': 'PL'}",1990-02-13,null,2463,Paweł,right,184,Olkowski,,"{'name': 'Poland', 'id': '616', 'alpha3code': 'POL', 'alpha2code': 'PL'}","{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",P. Olkowski,76,99437
"{'name': 'Poland', 'id': '616', 'alpha3code': 'POL', 'alpha2code': 'PL'}",1994-02-28,13869,3187,Arkadiusz,left,186,Milik,,"{'name': 'Poland', 'id': '616', 'alpha3code': 'POL', 'alpha2code': 'PL'}","{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",A. Milik,78,99452
"{'name': 'Burkina Faso', 'id': '854', 'alpha3code': 'BFA', 'alpha2code': 'BF'}",1987-04-21,null,,Préjuce Niguimbé,right,178,Nakoulma,,"{'name': 'Burkina Faso', 'id': '854', 'alpha3code': 'BFA', 'alpha2code': 'BF'}","{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",P. Nakoulma,72,99453
