birthArea,birthDate,currentTeamId,firstName,lastName,middleName,passportArea,shortName,wyId
"{'id': 250, 'alpha2code': 'FR', 'alpha3code': 'FRA', 'name': 'France'}",1965-04-30,0,José,Pinot,,"{'id': 250, 'alpha2code': 'FR', 'alpha3code': 'FRA', 'name': 'France'}",J. Pinot,28158
"{'id': 188, 'alpha2code': 'CR', 'alpha3code': 'CRI', 'name': 'Costa Rica'}",1964-12-08,0,Óscar Antonio,Ramírez Hernández,,"{'id': 188, 'alpha2code': 'CR', 'alpha3code': 'CRI', 'name': 'Costa Rica'}",Ó. Ramírez,484354
"{'id': 276, 'alpha2code': 'DE', 'alpha3code': 'DEU', 'name': 'Germany'}",1982-10-05,2443,Florian,Kohfeldt,,"{'id': 276, 'alpha2code': 'DE', 'alpha3code': 'DEU', 'name': 'Germany'}",F. Kohfeldt,367510
"{'id': 276, 'alpha2code': 'DE', 'alpha3code': 'DEU', 'name': 'Germany'}",1979-08-20,0,Alexander,Nouri,,"{'id': 276, 'alpha2code': 'DE', 'alpha3code': 'DEU', 'name': 'Germany'}",A. Nouri,261672
"{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}",1967-08-21,741,Cristóbal,Parralo Aguilera,,"{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}",Cristóbal,525079
"{'id': 32, 'alpha2code': 'AR', 'alpha3code': 'ARG', 'name': 'Argentina'}",1955-07-21,1630,Marcelo Alberto,Bielsa Caldera,,"{'id': 32, 'alpha2code': 'AR', 'alpha3code': 'ARG', 'name': 'Argentina'}",M. Bielsa,3396
"{'id': 788, 'alpha2code': 'TN', 'alpha3code': 'TUN', 'name': 'Tunisia'}",1962-07-25,0,Nabil,Maâloul,,"{'id': 788, 'alpha2code': 'TN', 'alpha3code': 'TUN', 'name': 'Tunisia'}",N. Maâloul,209364
"{'id': 792, 'alpha2code': 'TR', 'alpha3code': 'TUR', 'name': 'Turkey'}",1953-09-04,4492,Fatih,Terim,,"{'id': 792, 'alpha2code': 'TR', 'alpha3code': 'TUR', 'name': 'Turkey'}",F. Terim,32637
"{'id': 276, 'alpha2code': 'DE', 'alpha3code': 'DEU', 'name': 'Germany'}",1967-03-28,2472,Alois,Schwartz,,"{'id': 276, 'alpha2code': 'DE', 'alpha3code': 'DEU', 'name': 'Germany'}",A. Schwartz,16837
"{'id': 70, 'alpha2code': 'BA', 'alpha3code': 'BIH', 'name': 'Bosnia-Herzegovina'}",1966-10-26,0,Zlatko,Dalic,,"{'id': 191, 'alpha2code': 'HR', 'alpha3code': 'HRV', 'name': 'Croatia'}",Z. Dalic,122788
"{'id': 32, 'alpha2code': 'AR', 'alpha3code': 'ARG', 'name': 'Argentina'}",1955-11-16,0,Héctor Raúl,Cúper,,"{'id': 32, 'alpha2code': 'AR', 'alpha3code': 'ARG', 'name': 'Argentina'}",H. Cúper,33204
"{'id': 804, 'alpha2code': 'UA', 'alpha3code': 'UKR', 'name': 'Ukraine'}",1948-09-19,0,Mikhail Ivanovich,Fomenko,,"{'id': 804, 'alpha2code': 'UA', 'alpha3code': 'UKR', 'name': 'Ukraine'}",M. Fomenko,248800
"{'id': 392, 'alpha2code': 'JP', 'alpha3code': 'JPN', 'name': 'Japan'}",1955-04-07,0,Akira,Nishino,,"{'id': 392, 'alpha2code': 'JP', 'alpha3code': 'JPN', 'name': 'Japan'}",A. Nishino,94654
"{'id': 191, 'alpha2code': 'HR', 'alpha3code': 'HRV', 'name': 'Croatia'}",1968-09-11,0,Slaven,Bilić,,"{'id': 191, 'alpha2code': 'HR', 'alpha3code': 'HRV', 'name': 'Croatia'}",S. Bilić,269869
"{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}",1973-02-19,1613,Francisco,de Míguel Moreno,,"{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}",Paco,531745
"{'id': 620, 'alpha2code': 'PT', 'alpha3code': 'PRT', 'name': 'Portugal'}",1963-01-26,0,José Mario Felix,dos Santos Mourinho,,"{'id': 620, 'alpha2code': 'PT', 'alpha3code': 'PRT', 'name': 'Portugal'}",José Mourinho,3295
"{'id': 250, 'alpha2code': 'FR', 'alpha3code': 'FRA', 'name': 'France'}",,0,Fernando,Da Cruz,,"{'id': 250, 'alpha2code': 'FR', 'alpha3code': 'FRA', 'name': 'France'}",F. Da Cruz,360949
"{'id': 352, 'alpha2code': 'IS', 'alpha3code': 'ISL', 'name': 'Iceland'}",1967-06-10,0,Heimir,Hallgrímsson,,"{'id': 352, 'alpha2code': 'IS', 'alpha3code': 'ISL', 'name': 'Iceland'}",H. Hallgrímsson,57369
"{'id': 250, 'alpha2code': 'FR', 'alpha3code': 'FRA', 'name': 'France'}",1971-11-09,0,Sabri,Lamouchi,,"{'id': 250, 'alpha2code': 'FR', 'alpha3code': 'FRA', 'name': 'France'}",S. Lamouchi,216136
"{'id': 380, 'alpha2code': 'IT', 'alpha3code': 'ITA', 'name': 'Italy'}",1973-08-24,0,Fabio,Pecchia,,"{'id': 380, 'alpha2code': 'IT', 'alpha3code': 'ITA', 'name': 'Italy'}",F. Pecchia,270032
"{'id': 686, 'alpha2code': 'SN', 'alpha3code': 'SEN', 'name': 'Senegal'}",1976-03-24,0,Aliou,Cissé,,"{'id': 686, 'alpha2code': 'SN', 'alpha3code': 'SEN', 'name': 'Senegal'}",A. Cissé,143326
"{'id': 250, 'alpha2code': 'FR', 'alpha3code': 'FRA', 'name': 'France'}",1966-05-30,0,Frédéric,Hantz,,"{'id': 250, 'alpha2code': 'FR', 'alpha3code': 'FRA', 'name': 'France'}",F. Hantz,25751
"{'id': 40, 'alpha2code': 'AT', 'alpha3code': 'AUT', 'name': 'Austria'}",1966-04-11,0,Peter,Stöger,,"{'id': 40, 'alpha2code': 'AT', 'alpha3code': 'AUT', 'name': 'Austria'}",P. Stöger,266521
"{'id': 276, 'alpha2code': 'DE', 'alpha3code': 'DEU', 'name': 'Germany'}",1978-10-17,2460,Sandro,Schwarz,,"{'id': 276, 'alpha2code': 'DE', 'alpha3code': 'DEU', 'name': 'Germany'}",S. Schwarz,228372
"{'id': 250, 'alpha2code': 'FR', 'alpha3code': 'FRA', 'name': 'France'}",1970-12-01,0,Mickaël,Debeve,,"{'id': 250, 'alpha2code': 'FR', 'alpha3code': 'FRA', 'name': 'France'}",M. Debeve,215903
"{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}",1958-09-27,684,Enrique,Setién Solar,,"{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}",Quique Setién,5298
"{'id': 276, 'alpha2code': 'DE', 'alpha3code': 'DEU', 'name': 'Germany'}",1971-10-15,2444,Niko,Kovač,,"{'id': 191, 'alpha2code': 'HR', 'alpha3code': 'HRV', 'name': 'Croatia'}",N. Kovač,251201
"{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}",1967-09-19,695,Francisco José,López Fernández,,"{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}",Paco López,240612
"{'id': 826, 'alpha2code': 'EN', 'alpha3code': 'XEN', 'name': 'England'}",1971-06-28,1646,Sean,Dyche,,"{'id': 826, 'alpha2code': 'EN', 'alpha3code': 'XEN', 'name': 'England'}",S. Dyche,8880
"{'id': 250, 'alpha2code': 'FR', 'alpha3code': 'FRA', 'name': 'France'}",1968-10-15,4418,Didier,Deschamps,,"{'id': 250, 'alpha2code': 'FR', 'alpha3code': 'FRA', 'name': 'France'}",D. Deschamps,25549
"{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}",1978-05-12,682,Javier,Calleja Revilla,,"{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}",Javi Calleja,3500
"{'id': 32, 'alpha2code': 'AR', 'alpha3code': 'ARG', 'name': 'Argentina'}",1972-03-02,1624,Mauricio Roberto,Pochettino Trossero,,"{'id': 32, 'alpha2code': 'AR', 'alpha3code': 'ARG', 'name': 'Argentina'}",M. Pochettino,292863
"{'id': 250, 'alpha2code': 'FR', 'alpha3code': 'FRA', 'name': 'France'}",1961-09-02,0,Claude,Puel,,"{'id': 250, 'alpha2code': 'FR', 'alpha3code': 'FRA', 'name': 'France'}",C. Puel,209010
"{'id': 826, 'alpha2code': 'EN', 'alpha3code': 'XEN', 'name': 'England'}",1947-08-09,1628,Roy,Hodgson,,"{'id': 826, 'alpha2code': 'EN', 'alpha3code': 'XEN', 'name': 'England'}",R. Hodgson,8357
"{'id': 276, 'alpha2code': 'DE', 'alpha3code': 'DEU', 'name': 'Germany'}",1972-04-19,3111,Stefan ,Ruthenbeck,,"{'id': 276, 'alpha2code': 'DE', 'alpha3code': 'DEU', 'name': 'Germany'}",S. Ruthenbeck,266522
"{'id': 250, 'alpha2code': 'FR', 'alpha3code': 'FRA', 'name': 'France'}",1964-05-16,0,Olivier,Dall’Oglio,,"{'id': 250, 'alpha2code': 'FR', 'alpha3code': 'FRA', 'name': 'France'}",O. Dall’Oglio,220743
"{'id': 380, 'alpha2code': 'IT', 'alpha3code': 'ITA', 'name': 'Italy'}",1951-10-20,3158,Claudio,Ranieri,,"{'id': 380, 'alpha2code': 'IT', 'alpha3code': 'ITA', 'name': 'Italy'}",C. Ranieri,20508
"{'id': 250, 'alpha2code': 'FR', 'alpha3code': 'FRA', 'name': 'France'}",1962-09-20,0,Jean Louis,Garcia,,"{'id': 250, 'alpha2code': 'FR', 'alpha3code': 'FRA', 'name': 'France'}",J. Garcia,25606
"{'id': 540, 'alpha2code': 'NC', 'alpha3code': 'NCL', 'name': 'New Caledonia'}",1963-11-16,3804,Antoine,Kombouare,,"{'id': 250, 'alpha2code': 'FR', 'alpha3code': 'FRA', 'name': 'France'}",A. Kombouare,210146
"{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}",1968-11-02,0,Juan Ramón,López Muñiz,,"{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}",Juan Muñiz,301696
"{'id': 250, 'alpha2code': 'FR', 'alpha3code': 'FRA', 'name': 'France'}",1980-09-11,3782,Julien,Sablé,,"{'id': 250, 'alpha2code': 'FR', 'alpha3code': 'FRA', 'name': 'France'}",J. Sablé,25683
"{'id': 826, 'alpha2code': 'EN', 'alpha3code': 'XEN', 'name': 'England'}",1954-10-19,0,Sam,Allardyce,,"{'id': 826, 'alpha2code': 'EN', 'alpha3code': 'XEN', 'name': 'England'}",S. Allardyce,8541
"{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}",1964-03-05,698,José,Bordalás Jiménez,,"{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}",José Bordalás,4107
"{'id': 756, 'alpha2code': 'CH', 'alpha3code': 'CHE', 'name': 'Switzerland'}",1957-11-02,2447,Lucien,Favre,,"{'id': 756, 'alpha2code': 'CH', 'alpha3code': 'CHE', 'name': 'Switzerland'}",L. Favre,15005
"{'id': 858, 'alpha2code': 'UY', 'alpha3code': 'URY', 'name': 'Uruguay'}",1967-11-15,0,Gustavo Augusto,Poyet Domínguez,,"{'id': 858, 'alpha2code': 'UY', 'alpha3code': 'URY', 'name': 'Uruguay'}",G. Poyet,9092
"{'id': 203, 'alpha2code': 'CZ', 'alpha3code': 'CZE', 'name': 'Czech Republic'}",1963-12-06,11255,Pavel,Vrba,,"{'id': 203, 'alpha2code': 'CZ', 'alpha3code': 'CZE', 'name': 'Czech Republic'}",P. Vrba,82503
"{'id': 380, 'alpha2code': 'IT', 'alpha3code': 'ITA', 'name': 'Italy'}",1960-04-28,0,Walter,Zenga,,"{'id': 380, 'alpha2code': 'IT', 'alpha3code': 'ITA', 'name': 'Italy'}",W. Zenga,287082
"{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}",1950-12-23,0,Vicente,Del Bosque,,"{'id': 724, 'alpha2code': 'ES', 'alpha3code': 'ESP', 'name': 'Spain'}",Del Bosque,134151
"{'id': 508, 'alpha2code': 'MZ', 'alpha3code': 'MOZ', 'name': 'Mozambique'}",1953-03-01,0,Carlos Manuel,Brito Leal Queiróz,,"{'id': 620, 'alpha2code': 'PT', 'alpha3code': 'PRT', 'name': 'Portugal'}",Carlos Queiroz,136612
"{'id': 276, 'alpha2code': 'DE', 'alpha3code': 'DEU', 'name': 'Germany'}",1969-12-08,0,Bernd,Hollerbach,,"{'id': 276, 'alpha2code': 'DE', 'alpha3code': 'DEU', 'name': 'Germany'}",B. Hollerbach,333560
